##THE TWO LINES ARE FOR BALANCED AND IMBALALANCED TEST
#AUC 	 Accuracy 	 Precision 	 Recall 	 F1 	 Kappa
0.6979591836734693	0.7	0.7692307692307693	0.5714285714285714	0.6557377049180327	0.4
0.6979591836734693	0.7857142857142857	0.4	0.5714285714285714	0.47058823529411764	0.3414634146341464
#TRUE_SENSITIVE 	 TRUE_RESISTANT
[29  6]
[15 20]
[29  6]
[3 4]
#FPR 	 TPR 	 THRESHOLDs
0.0	0.0	1.8838772773742676
0.0	0.14285714285714285	0.8838772773742676
0.0	0.2857142857142857	0.8441272974014282
0.0	0.3142857142857143	0.730389416217804
0.0	0.42857142857142855	0.7303847074508667
0.05714285714285714	0.42857142857142855	0.6618919372558594
0.05714285714285714	0.5714285714285714	0.6204235553741455
0.4	0.5714285714285714	0.009585302323102951
0.4	0.6285714285714286	0.00910523533821106
0.4	0.7142857142857143	0.009104159660637379
0.8285714285714286	0.7142857142857143	0.0014014055486768484
0.8285714285714286	1.0	0.0012596042361110449
1.0	1.0	0.00022736462415196002
#NEXT
0.0	0.0	1.8838772773742676
0.0	0.14285714285714285	0.8838772773742676
0.0	0.42857142857142855	0.7303847074508667
0.05714285714285714	0.42857142857142855	0.6618919372558594
0.05714285714285714	0.5714285714285714	0.6204235553741455
0.4	0.5714285714285714	0.009585302323102951
0.4	0.7142857142857143	0.009104159660637379
0.8285714285714286	0.7142857142857143	0.0014014055486768484
0.8285714285714286	1.0	0.0012596042361110449
1.0	1.0	0.00022736462415196002
#NEXT
